,date,temp,count
212,1982-09-01,14.15,38
213,1982-10-01,14.13,21
214,1982-11-01,14.14,22
215,1982-12-01,14.42,53
216,1983-01-01,14.52,46
217,1983-02-01,14.4,28
218,1983-03-01,14.42,34
219,1983-04-01,14.3,42
220,1983-05-01,14.35,38
221,1983-06-01,14.17,35
222,1983-07-01,14.15,39
223,1983-08-01,14.3,37
224,1983-09-01,14.38,30
225,1983-10-01,14.14,44
226,1983-11-01,14.3,36
227,1983-12-01,14.17,44
228,1984-01-01,14.3,41
229,1984-02-01,14.17,29
230,1984-03-01,14.28,41
231,1984-04-01,14.08,39
232,1984-05-01,14.33,42
233,1984-06-01,14.04,34
234,1984-07-01,14.16,37
235,1984-08-01,14.15,35
236,1984-09-01,14.19,45
237,1984-10-01,14.14,42
238,1984-11-01,14.04,56
239,1984-12-01,13.94,41
240,1985-01-01,14.21,37
241,1985-02-01,13.93,25
242,1985-03-01,14.17,65
243,1985-04-01,14.11,44
244,1985-05-01,14.17,37
245,1985-06-01,14.17,38
246,1985-07-01,13.99,37
247,1985-08-01,14.14,45
248,1985-09-01,14.14,39
249,1985-10-01,14.11,34
250,1985-11-01,14.09,38
251,1985-12-01,14.15,37
252,1986-01-01,14.29,32
253,1986-02-01,14.39,22
254,1986-03-01,14.29,44
255,1986-04-01,14.26,27
256,1986-05-01,14.26,64
257,1986-06-01,14.12,46
258,1986-07-01,14.13,55
259,1986-08-01,14.12,42
260,1986-09-01,14.02,27
261,1986-10-01,14.14,58
262,1986-11-01,14.11,32
263,1986-12-01,14.16,36
264,1987-01-01,14.36,36
265,1987-02-01,14.45,49
266,1987-03-01,14.16,62
267,1987-04-01,14.24,34
268,1987-05-01,14.25,36
269,1987-06-01,14.36,55
270,1987-07-01,14.45,41
271,1987-08-01,14.27,28
272,1987-09-01,14.39,41
273,1987-10-01,14.31,44
274,1987-11-01,14.24,48
275,1987-12-01,14.47,31
276,1988-01-01,14.56,42
277,1988-02-01,14.41,46
278,1988-03-01,14.49,49
279,1988-04-01,14.45,36
280,1988-05-01,14.44,44
281,1988-06-01,14.42,26
282,1988-07-01,14.35,49
283,1988-08-01,14.46,50
284,1988-09-01,14.41,32
285,1988-10-01,14.39,29
286,1988-11-01,14.13,52
287,1988-12-01,14.34,34
288,1989-01-01,14.15,33
289,1989-02-01,14.35,47
290,1989-03-01,14.36,26
291,1989-04-01,14.33,45
292,1989-05-01,14.17,56
293,1989-06-01,14.14,31
294,1989-07-01,14.33,26
295,1989-08-01,14.35,44
296,1989-09-01,14.37,39
297,1989-10-01,14.32,41
298,1989-11-01,14.21,43
299,1989-12-01,14.37,49
300,1990-01-01,14.4,43
301,1990-02-01,14.41,38
302,1990-03-01,14.76,41
303,1990-04-01,14.55,55
304,1990-05-01,14.46,53
305,1990-06-01,14.38,41
306,1990-07-01,14.43,50
307,1990-08-01,14.3,46
308,1990-09-01,14.3,41
309,1990-10-01,14.42,29
310,1990-11-01,14.46,38
311,1990-12-01,14.42,53
312,1991-01-01,14.42,42
313,1991-02-01,14.5,31
314,1991-03-01,14.35,32
315,1991-04-01,14.52,44
316,1991-05-01,14.39,34
317,1991-06-01,14.54,36
318,1991-07-01,14.51,33
319,1991-08-01,14.42,36
320,1991-09-01,14.5,22
321,1991-10-01,14.32,34
322,1991-11-01,14.31,31
323,1991-12-01,14.33,54
324,1992-01-01,14.45,19
325,1992-02-01,14.42,32
326,1992-03-01,14.47,39
327,1992-04-01,14.24,49
328,1992-05-01,14.32,56
329,1992-06-01,14.24,52
330,1992-07-01,14.13,51
331,1992-08-01,14.09,42
332,1992-09-01,14.01,54
333,1992-10-01,14.11,51
334,1992-11-01,14.04,42
335,1992-12-01,14.22,46
336,1993-01-01,14.37,37
337,1993-02-01,14.39,27
338,1993-03-01,14.35,42
339,1993-04-01,14.28,28
340,1993-05-01,14.26,52
341,1993-06-01,14.23,39
342,1993-07-01,14.28,36
343,1993-08-01,14.13,42
344,1993-09-01,14.11,60
345,1993-10-01,14.23,39
346,1993-11-01,14.07,33
347,1993-12-01,14.19,31
348,1994-01-01,14.3,32
349,1994-02-01,14.04,52
350,1994-03-01,14.26,24
351,1994-04-01,14.41,43
352,1994-05-01,14.28,51
353,1994-06-01,14.42,47
354,1994-07-01,14.32,42
355,1994-08-01,14.23,48
356,1994-09-01,14.32,38
357,1994-10-01,14.42,61
358,1994-11-01,14.46,28
359,1994-12-01,14.36,42
360,1995-01-01,14.5,48
361,1995-02-01,14.77,47
362,1995-03-01,14.44,35
363,1995-04-01,14.47,54
364,1995-05-01,14.28,64
365,1995-06-01,14.44,38
366,1995-07-01,14.49,48
367,1995-08-01,14.48,64
368,1995-09-01,14.34,37
369,1995-10-01,14.48,57
370,1995-11-01,14.45,39
371,1995-12-01,14.29,60
372,1996-01-01,14.27,32
373,1996-02-01,14.49,57
374,1996-03-01,14.33,53
375,1996-04-01,14.38,33
376,1996-05-01,14.29,29
377,1996-06-01,14.27,52
378,1996-07-01,14.37,33
379,1996-08-01,14.49,50
380,1996-09-01,14.27,61
381,1996-10-01,14.2,47
382,1996-11-01,14.42,55
383,1996-12-01,14.41,39
384,1997-01-01,14.32,23
385,1997-02-01,14.37,25
386,1997-03-01,14.52,38
387,1997-04-01,14.37,56
388,1997-05-01,14.39,44
389,1997-06-01,14.55,27
390,1997-07-01,14.35,31
391,1997-08-01,14.42,31
392,1997-09-01,14.55,36
393,1997-10-01,14.64,44
394,1997-11-01,14.66,46
395,1997-12-01,14.6,55
396,1998-01-01,14.61,45
397,1998-02-01,14.89,27
398,1998-03-01,14.63,31
399,1998-04-01,14.64,30
400,1998-05-01,14.71,39
401,1998-06-01,14.78,24
402,1998-07-01,14.71,31
403,1998-08-01,14.68,31
404,1998-09-01,14.45,38
405,1998-10-01,14.46,32
406,1998-11-01,14.5,36
407,1998-12-01,14.56,24
408,1999-01-01,14.48,33
409,1999-02-01,14.66,32
410,1999-03-01,14.34,41
411,1999-04-01,14.34,30
412,1999-05-01,14.33,38
413,1999-06-01,14.37,26
414,1999-07-01,14.41,34
415,1999-08-01,14.34,40
416,1999-09-01,14.43,36
417,1999-10-01,14.43,34
418,1999-11-01,14.42,44
419,1999-12-01,14.46,58
420,2000-01-01,14.26,52
421,2000-02-01,14.58,30
422,2000-03-01,14.6,30
423,2000-04-01,14.59,32
424,2000-05-01,14.4,31
425,2000-06-01,14.44,58
426,2000-07-01,14.42,48
427,2000-08-01,14.43,47
428,2000-09-01,14.42,37
429,2000-10-01,14.29,56
430,2000-11-01,14.34,83
431,2000-12-01,14.31,49
432,2001-01-01,14.44,55
433,2001-02-01,14.46,45
434,2001-03-01,14.58,29
435,2001-04-01,14.52,36
436,2001-05-01,14.59,28
437,2001-06-01,14.54,47
438,2001-07-01,14.61,37
439,2001-08-01,14.49,33
440,2001-09-01,14.56,33
441,2001-10-01,14.51,40
442,2001-11-01,14.7,26
443,2001-12-01,14.55,34
444,2002-01-01,14.75,46
445,2002-02-01,14.76,28
446,2002-03-01,14.91,43
447,2002-04-01,14.58,31
448,2002-05-01,14.65,32
449,2002-06-01,14.54,39
450,2002-07-01,14.62,23
451,2002-08-01,14.55,39
452,2002-09-01,14.65,44
453,2002-10-01,14.57,46
454,2002-11-01,14.59,37
455,2002-12-01,14.43,36
456,2003-01-01,14.73,35
457,2003-02-01,14.55,28
458,2003-03-01,14.57,41
459,2003-04-01,14.55,31
460,2003-05-01,14.63,43
461,2003-06-01,14.49,31
462,2003-07-01,14.55,50
463,2003-08-01,14.66,44
464,2003-09-01,14.66,59
465,2003-10-01,14.76,36
466,2003-11-01,14.55,43
467,2003-12-01,14.75,44
468,2004-01-01,14.59,50
469,2004-02-01,14.71,34
470,2004-03-01,14.64,42
471,2004-04-01,14.62,48
472,2004-05-01,14.42,38
473,2004-06-01,14.43,28
474,2004-07-01,14.26,37
475,2004-08-01,14.45,31
476,2004-09-01,14.54,47
477,2004-10-01,14.66,50
478,2004-11-01,14.72,54
479,2004-12-01,14.5,112
480,2005-01-01,14.71,82
481,2005-02-01,14.57,50
482,2005-03-01,14.72,52
483,2005-04-01,14.7,47
484,2005-05-01,14.65,29
485,2005-06-01,14.67,40
486,2005-07-01,14.66,41
487,2005-08-01,14.63,37
488,2005-09-01,14.78,37
489,2005-10-01,14.8,48
490,2005-11-01,14.76,38
491,2005-12-01,14.68,32
492,2006-01-01,14.58,31
493,2006-02-01,14.69,30
494,2006-03-01,14.63,45
495,2006-04-01,14.51,50
496,2006-05-01,14.47,48
497,2006-06-01,14.64,30
498,2006-07-01,14.54,55
499,2006-08-01,14.71,34
500,2006-09-01,14.64,36
501,2006-10-01,14.69,41
502,2006-11-01,14.72,65
503,2006-12-01,14.77,43
504,2007-01-01,14.96,49
505,2007-02-01,14.7,41
506,2007-03-01,14.7,50
507,2007-04-01,14.76,81
508,2007-05-01,14.67,44
509,2007-06-01,14.58,35
510,2007-07-01,14.62,44
511,2007-08-01,14.6,58
512,2007-09-01,14.64,64
513,2007-10-01,14.6,38
514,2007-11-01,14.57,57
515,2007-12-01,14.49,47
516,2008-01-01,14.25,38
517,2008-02-01,14.36,40
