,date,count,temperatureChange,temperature
162,1978-07-01,21,0.07,14.07
163,1978-08-01,38,-0.17,13.83
164,1978-09-01,37,0.05,14.05
165,1978-10-01,19,0.0,14.0
166,1978-11-01,27,0.16,14.16
167,1978-12-01,32,0.11,14.11
168,1979-01-01,28,0.14,14.14
169,1979-02-01,25,-0.09,13.91
170,1979-03-01,25,0.19,14.19
171,1979-04-01,24,0.12,14.12
172,1979-05-01,40,0.05,14.05
173,1979-06-01,24,0.14,14.14
174,1979-07-01,25,0.02,14.02
175,1979-08-01,26,0.14,14.14
176,1979-09-01,35,0.27,14.27
177,1979-10-01,40,0.25,14.25
178,1979-11-01,32,0.29,14.29
179,1979-12-01,32,0.47,14.47
180,1980-01-01,31,0.3,14.3
181,1980-02-01,32,0.42,14.42
182,1980-03-01,27,0.29,14.29
183,1980-04-01,24,0.31,14.31
184,1980-05-01,30,0.34,14.34
185,1980-06-01,41,0.16,14.16
186,1980-07-01,34,0.28,14.28
187,1980-08-01,13,0.24,14.24
188,1980-09-01,19,0.21,14.21
189,1980-10-01,42,0.2,14.2
190,1980-11-01,21,0.3,14.3
191,1980-12-01,34,0.21,14.21
192,1981-01-01,40,0.56,14.56
193,1981-02-01,32,0.41,14.41
194,1981-03-01,28,0.48,14.48
195,1981-04-01,25,0.31,14.31
196,1981-05-01,16,0.24,14.24
197,1981-06-01,16,0.3,14.3
198,1981-07-01,19,0.35,14.35
199,1981-08-01,18,0.35,14.35
200,1981-09-01,42,0.17,14.17
201,1981-10-01,25,0.13,14.13
202,1981-11-01,33,0.21,14.21
203,1981-12-01,27,0.4,14.4
204,1982-01-01,43,0.09,14.09
205,1982-02-01,18,0.14,14.14
206,1982-03-01,27,-0.01,13.99
207,1982-04-01,27,0.09,14.09
208,1982-05-01,21,0.16,14.16
209,1982-06-01,27,0.05,14.05
210,1982-07-01,22,0.13,14.13
211,1982-08-01,27,0.08,14.08
212,1982-09-01,38,0.15,14.15
213,1982-10-01,21,0.13,14.13
214,1982-11-01,22,0.14,14.14
215,1982-12-01,53,0.42,14.42
216,1983-01-01,46,0.52,14.52
217,1983-02-01,28,0.4,14.4
218,1983-03-01,34,0.42,14.42
219,1983-04-01,42,0.3,14.3
220,1983-05-01,38,0.35,14.35
221,1983-06-01,35,0.17,14.17
222,1983-07-01,39,0.15,14.15
223,1983-08-01,37,0.3,14.3
224,1983-09-01,30,0.38,14.38
225,1983-10-01,44,0.14,14.14
226,1983-11-01,36,0.3,14.3
227,1983-12-01,44,0.17,14.17
228,1984-01-01,41,0.3,14.3
229,1984-02-01,29,0.17,14.17
230,1984-03-01,41,0.28,14.28
231,1984-04-01,39,0.08,14.08
232,1984-05-01,42,0.33,14.33
233,1984-06-01,34,0.04,14.04
234,1984-07-01,37,0.16,14.16
235,1984-08-01,35,0.15,14.15
236,1984-09-01,45,0.19,14.19
237,1984-10-01,42,0.14,14.14
238,1984-11-01,56,0.04,14.04
239,1984-12-01,41,-0.06,13.94
240,1985-01-01,37,0.21,14.21
241,1985-02-01,25,-0.07,13.93
242,1985-03-01,65,0.17,14.17
243,1985-04-01,44,0.11,14.11
244,1985-05-01,37,0.17,14.17
245,1985-06-01,38,0.17,14.17
246,1985-07-01,37,-0.01,13.99
247,1985-08-01,45,0.14,14.14
248,1985-09-01,39,0.14,14.14
249,1985-10-01,34,0.11,14.11
250,1985-11-01,38,0.09,14.09
251,1985-12-01,37,0.15,14.15
252,1986-01-01,32,0.29,14.29
253,1986-02-01,22,0.39,14.39
254,1986-03-01,44,0.29,14.29
255,1986-04-01,27,0.26,14.26
256,1986-05-01,64,0.26,14.26
257,1986-06-01,46,0.12,14.12
258,1986-07-01,55,0.13,14.13
259,1986-08-01,42,0.12,14.12
260,1986-09-01,27,0.02,14.02
261,1986-10-01,58,0.14,14.14
262,1986-11-01,32,0.11,14.11
263,1986-12-01,36,0.16,14.16
264,1987-01-01,36,0.36,14.36
265,1987-02-01,49,0.45,14.45
266,1987-03-01,62,0.16,14.16
267,1987-04-01,34,0.24,14.24
268,1987-05-01,36,0.25,14.25
269,1987-06-01,55,0.36,14.36
270,1987-07-01,41,0.45,14.45
271,1987-08-01,28,0.27,14.27
272,1987-09-01,41,0.39,14.39
273,1987-10-01,44,0.31,14.31
274,1987-11-01,48,0.24,14.24
275,1987-12-01,31,0.47,14.47
276,1988-01-01,42,0.56,14.56
277,1988-02-01,46,0.41,14.41
278,1988-03-01,49,0.49,14.49
279,1988-04-01,36,0.45,14.45
280,1988-05-01,44,0.44,14.44
281,1988-06-01,26,0.42,14.42
282,1988-07-01,49,0.35,14.35
283,1988-08-01,50,0.46,14.46
284,1988-09-01,32,0.41,14.41
285,1988-10-01,29,0.39,14.39
286,1988-11-01,52,0.13,14.13
287,1988-12-01,34,0.34,14.34
288,1989-01-01,33,0.15,14.15
289,1989-02-01,47,0.35,14.35
290,1989-03-01,26,0.36,14.36
291,1989-04-01,45,0.33,14.33
292,1989-05-01,56,0.17,14.17
293,1989-06-01,31,0.14,14.14
294,1989-07-01,26,0.33,14.33
295,1989-08-01,44,0.35,14.35
