,Classifier,F2-Score,BestParameters,FeatureNumber,Normalized,PCA,PCAComponents
46,Random Forest,0.3342869251960161,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 5}",5,False,True,2
47,k-Nearest Neighbors,0.2505827505827506,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",5,True,True,2
48,Naive Bayes,0.37529137529137535,{},5,False,True,3
49,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",5,True,True,3
50,Decission Tree,0.44426785335876245,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3}",5,False,True,3
51,AdaBoost,0.4352970262061171,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",5,False,True,3
52,Random Forest,0.2501344809037117,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",5,False,True,3
53,k-Nearest Neighbors,0.1941997396542851,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",5,True,True,3
54,Naive Bayes,0.46959101504556056,{},5,False,False,1
55,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",5,True,False,1
56,Decission Tree,0.3535176944267853,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",5,False,False,1
57,AdaBoost,0.37322525958889596,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",5,False,False,1
58,Random Forest,0.3426573426573427,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 5}",5,False,False,1
59,k-Nearest Neighbors,0.364786728423092,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",5,True,False,1
60,Naive Bayes,0.46959101504556056,{},5,False,False,2
61,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",5,True,False,2
62,Decission Tree,0.3535176944267853,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",5,False,False,2
63,AdaBoost,0.3115596524687434,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",5,False,False,2
64,Random Forest,0.3473193473193473,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",5,False,False,2
65,k-Nearest Neighbors,0.364786728423092,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",5,True,False,2
66,Naive Bayes,0.46959101504556056,{},5,False,False,3
67,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",5,True,False,3
68,Decission Tree,0.3535176944267853,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",5,False,False,3
69,AdaBoost,0.318075863530409,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 2}",5,False,False,3
70,Random Forest,0.31429681429681433,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",5,False,False,3
